NUM,CENTRO,Servicio,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14
1,C1,CE,x2,x2,x3,x2,x3,x3,x3,x4,0,x1,x2,x4,x3,x1
3,C1,CE,x2,x2,x4,x4,x5,x5,x4,x4,x4,x2,x5,x3,x4,x4
4,C1,CE,x2,x2,x4,x3,x4,x4,x5,x4,x3,x2,x3,x4,x4,x4
5,C1,CE,x3,x3,x4,x3,x4,x4,x3,x4,x3,x3,x3,x4,x3,x4
6,C1,CE,x4,x4,x5,x5,x5,x4,x5,x4,x3,x3,x4,x5,x5,x5
7,C1,CE,x1,x3,x5,x4,x3,x3,x3,x3,x3,x3,x4,x4,x4,x4
8,C1,CE,0,x1,NA,NA,x3,NA,x2,x2,0,x1,x2,x2,x3,x5
9,C1,CE,x1,x2,NA,x5,x4,x4,x5,x5,x2,x1,x5,x3,x3,x4
10,C1,CE,x1,x2,NA,x2,x4,x3,x2,x3,x2,x1,x2,x3,x3,x5
11,C1,CE,x3,x3,x2,x4,x4,x5,x5,x4,x2,x2,x4,x4,x4,x5
12,C1,CE,x2,x4,x4,x4,x4,x4,x5,x4,x3,x3,x3,x5,x4,x4
13,C1,CE,x1,x1,x2,x2,x3,x3,x3,x3,x1,x1,x3,x4,x3,x1
14,C1,CE,x3,x3,x3,x3,x4,x4,x4,x4,x3,x2,x3,x4,x4,x4
15,C1,CE,x3,x3,x5,x5,x5,x5,x5,x5,x4,x5,x5,x5,x5,x5
16,C1,CE,x2,x2,x4,x3,x3,x3,x2,x3,x2,x3,x3,x2,x3,x3
17,C1,CE,x3,x3,x5,x4,x5,x5,x5,x4,x4,x5,x4,x5,x5,x4
18,C1,CE,x2,x2,x3,x3,x4,x4,x4,x4,x2,x4,x4,x4,x4,x4
19,C1,CE,x2,x3,x4,x3,x3,x4,x4,x4,x4,x4,x4,x4,x4,x5
20,C1,CE,x2,x2,x4,x3,x4,x4,x3,x4,x2,x2,x3,x3,x3,x3
21,C1,CE,x2,x2,x4,x4,x4,x3,x4,x4,x2,x4,x3,x4,x4,x4
22,C1,CE,x3,x3,x4,x3,x4,x4,x3,x4,x3,x3,x4,x3,x3,x3
1,C1,CO,x2,x2,x4,x3,x3,x3,x2,x2,x1,x1,x3,x2,x2,x2
2,C1,CO,x3,x2,x4,x4,x3,x4,x4,x3,x3,x2,x4,x5,x5,x4
3,C1,CO,x1,x1,x3,x3,x4,x4,x3,x5,x1,x1,x4,x5,x4,x3
4,C1,CO,x2,x2,x3,x4,x3,x4,x4,x4,x2,x3,x3,x2,x4,x3
5,C1,CO,x2,x2,x4,x4,x4,x4,x2,x4,x2,x3,x4,x4,x5,x3
6,C1,CO,x1,x2,x4,x4,x5,x5,x4,x5,x4,x4,x4,x4,x4,x5
7,C1,CO,x3,x4,x4,x4,x4,x5,x3,x4,x4,x3,x4,x4,x4,x3
8,C1,CO,x2,x2,x4,x4,x3,x3,x3,x4,x4,x4,x4,x4,x3,x4
9,C1,CO,x3,x4,x3,x5,x5,x5,x4,x5,x4,x4,x4,x4,x5,x5
10,C1,CO,x2,x3,x4,x4,x4,x3,x2,x4,x1,x3,x4,x2,x4,x4
11,C1,CO,x3,x2,x4,x4,x3,x4,x3,x4,x3,x4,x5,x4,x4,x5
12,C1,CO,x2,x2,x4,x5,x4,x3,x3,x3,x2,x2,x4,x4,x5,x2
13,C1,CO,x2,x1,x4,x4,x4,x4,x3,x3,x2,x3,x4,x4,x4,x4
14,C1,CO,x2,x1,x4,x4,x4,x4,x3,x3,x2,x3,x4,x4,x4,x4
15,C1,CO,x3,x2,x4,x4,x3,x3,x4,x4,x3,x5,x4,x4,x4,x4
1,C2,CO,x3,x3,x4,x5,x4,x3,x5,x5,x4,x3,x5,x5,x4,x3
2,C2,CO,NA,x3,x3,x4,x4,x4,x4,x4,x4,x3,x4,x4,x4,x4
3,C2,CO,x3,x4,x5,x5,x4,x5,x5,x4,x4,x4,x5,x5,x4,x5
4,C2,CO,x4,x4,x2,x5,x4,x4,x5,x5,x4,x4,x4,x4,x4,x3
5,C2,CO,x3,x3,x4,x4,x4,x4,x2,x3,x3,x3,x3,x2,x3,x4
6,C2,CO,x2,x3,x4,x4,x5,x4,x5,x4,x3,x4,x4,x4,x4,x5
7,C2,CO,x4,x5,x4,x5,x5,x5,x5,x5,x4,x5,x5,x5,x5,x5
8,C2,CO,x4,x4,x4,x3,x4,x4,x4,x4,x4,x4,x3,x3,x4,x5
9,C2,CO,x5,x5,x5,x5,x5,x5,x5,x5,x5,x5,x5,x5,x5,x5
10,C2,CO,x2,x2,x4,x4,x3,x3,x3,x3,x2,x3,x4,x4,x3,x2
11,C2,CO,x3,x4,x4,x4,x5,x5,x4,x4,x4,x4,x4,x4,x4,x4
12,C2,CO,x3,x4,x5,x4,x4,x4,x4,x5,x3,x4,x5,x4,x3,x5
1,C1,VV,x3,x3,x4,x5,x5,x5,x4,x4,x4,x4,x5,x4,x4,x4
2,C1,VV,x3,x3,x4,x5,x5,x4,x5,x4,x3,x4,x4,x5,x4,x4
3,C1,VV,x4,x3,x3,x4,x4,x3,x4,x4,x3,x2,x4,x4,x4,x4
4,C1,VV,x5,x5,x5,x5,x5,x5,x5,x5,x5,x5,x5,x5,x5,x5
5,C1,VV,x2,x3,x4,x4,x5,x4,x4,x4,x2,x2,x4,x4,x3,x5
6,C1,VV,x3,x2,x4,x4,x3,x4,x3,x4,x1,x1,x3,x3,x4,x4
7,C1,VV,x3,x3,x5,x4,x3,x4,x4,x2,x3,x3,x3,x2,x4,x4
