"P1","P2","P3","P4","P5","P6","P7","P8","P9","P10","P11","P12","P13","P14","P15","P16","P17","P18","P19","P20"
"x4","x4","x4","x5","x3","x3","x2","x3","x4","x2","x2","x4","x4","x5","x5","x4","x2","x5","x5","x3"
"x3","x5","x5","x3","x4","x5","x5","x5","x5","x4","x5","x5","x5","x5","x5","x5","x5","x5","x5","x5"
"x4","x5","x5","x4","x4","x4","x4","x4","x4","x4","x3","x3","x4","x4","x5","x4","x4","x5","x5","x3"
"x3","x5","x5","x4","x5","x5","x5","x4","x5","x5","x4","x5","x5","x5","x5","x5","x5","x5","x5","x5"
"x5","x5","x5","x5","x5","x5","x5","x5","x5","x5","x5","x5","x5","x5","x5","x5","x5","x5","x5","x5"
"x4","x5","x5","x5","x5","x5","x5","x4","x5","x4","x5","x5","x5","x5","x5","x5","x5","x5","x5","x5"
"x3","x4","x4","x4","x4","x4","x4","x1","x4","x3","x4","x4","x4","x5","x4","x4","x4","x5","x5","x4"
"x5","x5","x5","x5","x5","x5","x5","x5","x5","x5","x5","x5","x5","x5","x5","x5","x5","x5","x5","x5"
"x2","x4","x4","x4","x4","x4","x4","x3","x4","x4","x4","x4","x4","x4","x4","x4","x4","x5","x5","x4"
"x4","x4","x5","x5","x5","x5","x4","x5","x5","x4","x5","x5","x5","x5","x4","x5","x4","x5","x5","x5"
"x3","x4","x5","x5","x5","x5","x5","x3","x5","x4","x5","x5","x5","x5","x5","x5","x5","x5","x5","x5"
"x3","x4","x5","x4","x5","x5","x4","x4","x5","x4","x5","x5","x5","x5","x4","x4","x4","x5","x5","x5"
"x3","x4","x5","x5","x4","x5","x4","x4","x4","x3","x5","x5","x5","x5","x5","x5","x4","x5","x5","x5"
"x2","x4","x5","x5","x5","x5","x5","x4","x5","x4","x4","x5","x5","x5","x5","x4","x3","x5","x5","x3"
"x3","x4","x5","x5","x5","x5","x5","x3","x5","x5","x5","x5","x5","x5","x5","x5","x5","x5","x5","x5"
"x0","x2","x4","x4","x5","x5","x4","x4","x4","x4","x4","x4","x4","x4","x2","x5","x3","x5","x5","x4"
"x4","x4","x5","x4","x5","x4","x5","x4","x5","x3","x4","x5","x5","x5","x4","x4","x4","x5","x5","x5"
"x3","x5","x5","x4","x3","x5","x4","x4","x4","x4","x4","x5","x4","x4","x5","x4","x4","x5","x5","x4"
"x3","x5","x4","x4","x4","x5","x4","x5","x5","x4","x5","x4","x4","x4","x4","x4","x5","x5","x5","x5"
"x1","x3","x5","x5","x5","x5","x5","x5","x5","x3","x5","x5","x5","x5","x5","x5","x5","x5","x5","x3"
"x1","x5","x5","x4","x5","x5","x5","x3","x5","x5","x5","x5","x5","x5","x5","x5","x5","x5","x5","x5"
"x5","x5","x5","x5","x5","x5","x5","x5","x5","x4","x5","x5","x5","x5","x5","x5","x5","x5","x5","x5"
"x4","x4","x4","x4","x5","x5","x5","x5","x5","x4","x5","x5","x5","x5","x5","x5","x5","x5","x5","x5"
"x4","x5","x5","x5","x5","x5","x5","x4","x5","x5","x5","x5","x5","x5","x5","x5","x5","x5","x5","x5"
"x4","x5","x5","x4","x4","x4","x5","x3","x4","x4","x5","x5","x5","x5","x5","x5","x4","x5","x5","x5"
"x3","x3","x5","x4","x3","x4","x3","x3","x3","x4","x4","x4","x4","x4","x3","x3","x3","x5","x5","x4"
"x3","x5","x5","x4","x5","x5","x5","x4","x5","x4","x5","x5","x5","x5","x5","x5","x5","x5","x5","x5"
"x3","x4","x4","x4","x4","x4","x3","x3","x4","x3","x5","x5","x5","x4","x4","x4","x5","x5","x5","x4"
"x3","x3","x3","x3","x5","x3","x1","x3","x3","x3","x3","x4","x3","x3","x2","x2","x2","x5","x5","x2"
"x5","x5","x5","x5","x5","x5","x5","x5","x5","x5","x5","x5","x5","x5","x5","x5","x5","x5","x5","x5"
"x4","x5","x5","x5","x5","x5","x5","x4","x5","x3","x5","x5","x5","x4","x4","x4","x5","x5","x5","x5"
"x4","x5","x5","x5","x5","x5","x5","x4","x5","x4","x5","x5","x5","x5","x4","x5","x4","x5","x5","x4"
